id,original_path,file_name,extension,size_mb,source_folder,detected_module,detected_document_type,proposed_menu,proposed_folder,proposed_title,proposed_code,canonical_use,training_use,quiz_use,certificate_use,priority,training_queue,impacted_roles,suggested_recurrence,status,action_recommended,needs_human_review,notes
0011,Google Drive/POPs+MBP_Farmácia de Manipulação Veterinária Exclusiva,POPs+MBP_Farmácia de Manipulação Veterinária Exclusiva,,,root,RQ's e MBP,Pasta/POP,Biblioteca POPs,06. Manipulacao,POPs+MBP_Farmácia de Manipulação Veterinária Exclusiva,POPS-MBP-FARMACIA-DE-MANIPULACAO-VETERINARIA-EXC,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0012,Google Drive/Manual para Solicitação de Registro no MAPA,Manual para Solicitação de Registro no MAPA,,,root,RQ's e MBP,Registro da Qualidade,RQ's e MBP,Registros da Qualidade/Formularios,Manual para Solicitação de Registro no MAPA,MANUAL-PARA-SOLICITACAO-DE-REGISTRO-NO-MAPA,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,IMPORTAR_COMO_RQ,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0013,Google Drive/POPs+MBP_SBIT,POPs+MBP_SBIT,,,root,RQ's e MBP,Pasta/POP,Biblioteca POPs,Manual de Boas Praticas,POPs+MBP_SBIT,POPS-MBP-SBIT,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0014,Google Drive/POPs_Manipulação Magistral Homeopática,POPs_Manipulação Magistral Homeopática,,,root,Farmacia de Manipulacao,Pasta/POP,Biblioteca POPs,06. Manipulacao,POPs_Manipulação Magistral Homeopática,POPS-MANIPULACAO-MAGISTRAL-HOMEOPATICA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0015,Google Drive/POPs_LGPD para Farmácias de Manipulação,POPs_LGPD para Farmácias de Manipulação,,,root,Farmacia de Manipulacao,Pasta/POP,Biblioteca POPs,06. Manipulacao,POPs_LGPD para Farmácias de Manipulação,POPS-LGPD-PARA-FARMACIAS-DE-MANIPULACAO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0016,Google Drive/POPs_Manipulação Veterinária - Complementar MAPA-ANVISA,POPs_Manipulação Veterinária - Complementar MAPA-ANVISA,,,root,Farmacia de Manipulacao,Pasta/POP,Biblioteca POPs,06. Manipulacao,POPs_Manipulação Veterinária - Complementar MAPA-ANVISA,POPS-MANIPULACAO-VETERINARIA-COMPLEMENTAR-MAPA-A,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0017,Google Drive/POPs_Serviços e Consulta Farmacêutica,POPs_Serviços e Consulta Farmacêutica,,,root,Farmacia de Manipulacao,Pasta/POP,Biblioteca POPs,"09. Rotulagem, Conferencia e Dispensacao",POPs_Serviços e Consulta Farmacêutica,POPS-SERVICOS-E-CONSULTA-FARMACEUTICA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0018,Google Drive/POPs+MBP_Drogarias/1.Manual de Boas Prática de Dispensação em Drogarias,1.Manual de Boas Prática de Dispensação em Drogarias,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,01. Dispensacao,1,1-MANUAL-DE-BOAS-PRATICA-DE-DISPENSACAO-EM-DROGA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0019,Google Drive/POPs+MBP_Drogarias/POP.001 Documentação Normativa,POP.001 Documentação Normativa,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-001-DOCUMENTACAO-NORMATIVA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0020,Google Drive/POPs+MBP_Drogarias/POP.002 Elab. Implementação de POPs,POP.002 Elab. Implementação de POPs,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP.002 Elab,POP-002-ELAB-IMPLEMENTACAO-DE-POPS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0021,Google Drive/POPs+MBP_Drogarias/POP.003 Organograma,POP.003 Organograma,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-003-ORGANOGRAMA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0022,Google Drive/POPs+MBP_Drogarias/POP.004 Organização e Pessoal,POP.004 Organização e Pessoal,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-004-ORGANIZACAO-E-PESSOAL,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0023,Google Drive/POPs+MBP_Drogarias/POP.005 Recrutamento e Admissão,POP.005 Recrutamento e Admissão,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-005-RECRUTAMENTO-E-ADMISSAO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0024,"Google Drive/POPs+MBP_Drogarias/POP.006 PCMSO, Relatório Analítico e Exames Médicos","POP.006 PCMSO, Relatório Analítico e Exames Médicos",,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-006-PCMSO-RELATORIO-ANALITICO-E-EXAMES-MEDIC,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0025,"Google Drive/POPs+MBP_Drogarias/POP.007 LTCAT, PGR e EPIs","POP.007 LTCAT, PGR e EPIs",,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,09. Residuos,POP,POP-007-LTCAT-PGR-E-EPIS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0026,Google Drive/POPs+MBP_Drogarias/POP.008 Atribuições do Farmacêutico,POP.008 Atribuições do Farmacêutico,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-008-ATRIBUICOES-DO-FARMACEUTICO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0027,Google Drive/POPs+MBP_Drogarias/POP.009 Atribuições da Gerência,POP.009 Atribuições da Gerência,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-009-ATRIBUICOES-DA-GERENCIA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0028,Google Drive/POPs+MBP_Drogarias/POP.010 Atribuições dos Balconistas,POP.010 Atribuições dos Balconistas,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-010-ATRIBUICOES-DOS-BALCONISTAS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0029,Google Drive/POPs+MBP_Drogarias/POP.011 Treinamento de Funcionários,POP.011 Treinamento de Funcionários,,,POPs+MBP_Drogarias,Treinamentos,Material didatico,Treinamentos,Boas Praticas e Controle de Qualidade,POP,POP-011-TREINAMENTO-DE-FUNCIONARIOS,REVISAR,OBRIGATORIO,REVISAR,NAO,P0,PRIORITARIO,ADMIN;RT;OPERADOR;COLABORADOR,,INVENTARIADO,IMPORTAR_COMO_TREINAMENTO,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0030,Google Drive/POPs+MBP_Drogarias/POP.012 Autoinspeção,POP.012 Autoinspeção,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-012-AUTOINSPECAO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0031,Google Drive/POPs+MBP_Drogarias/POP.013 Higiene Pessoal,POP.013 Higiene Pessoal,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,07. Higiene e Limpeza,POP,POP-013-HIGIENE-PESSOAL,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0032,Google Drive/POPs+MBP_Drogarias/POP.014 Higienização das Mãos,POP.014 Higienização das Mãos,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-014-HIGIENIZACAO-DAS-MAOS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0033,Google Drive/POPs+MBP_Drogarias/POP.015 Uso e Conservação de EPIs e Uniformes,POP.015 Uso e Conservação de EPIs e Uniformes,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,09. Residuos,POP,POP-015-USO-E-CONSERVACAO-DE-EPIS-E-UNIFORMES,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0034,Google Drive/POPs+MBP_Drogarias/POP.016 Manutenção e Calibração dos Equipamentos,POP.016 Manutenção e Calibração dos Equipamentos,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,"08. Equipamentos, Calibracao e Manutencao",POP,POP-016-MANUTENCAO-E-CALIBRACAO-DOS-EQUIPAMENTOS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0035,Google Drive/POPs+MBP_Drogarias/POP.017 Limpeza do Ar Condicionado,POP.017 Limpeza do Ar Condicionado,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,07. Higiene e Limpeza,POP,POP-017-LIMPEZA-DO-AR-CONDICIONADO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0036,Google Drive/POPs+MBP_Drogarias/POP.018 Limpeza da Geladeira e Congelador,POP.018 Limpeza da Geladeira e Congelador,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,07. Higiene e Limpeza,POP,POP-018-LIMPEZA-DA-GELADEIRA-E-CONGELADOR,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0037,Google Drive/POPs+MBP_Drogarias/POP.019 Limpeza Diária dos Ambientes,POP.019 Limpeza Diária dos Ambientes,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,07. Higiene e Limpeza,POP,POP-019-LIMPEZA-DIARIA-DOS-AMBIENTES,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0038,Google Drive/POPs+MBP_Drogarias/POP.020 Limpeza da Sala de Serviços Farmacêuticos,POP.020 Limpeza da Sala de Serviços Farmacêuticos,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,07. Higiene e Limpeza,POP,POP-020-LIMPEZA-DA-SALA-DE-SERVICOS-FARMACEUTICO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0039,Google Drive/POPs+MBP_Drogarias/POP.021 Descarte de Resíduo e Retirada do Lixo,POP.021 Descarte de Resíduo e Retirada do Lixo,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,09. Residuos,POP,POP-021-DESCARTE-DE-RESIDUO-E-RETIRADA-DO-LIXO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0040,Google Drive/POPs+MBP_Drogarias/POP.022 Monitoramento da Temperatura e Umidade,POP.022 Monitoramento da Temperatura e Umidade,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-022-MONITORAMENTO-DA-TEMPERATURA-E-UMIDADE,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0041,Google Drive/POPs+MBP_Drogarias/POP.023 Termo-Higrômetro,POP.023 Termo-Higrômetro,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,"08. Equipamentos, Calibracao e Manutencao",POP,POP-023-TERMO-HIGROMETRO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0042,Google Drive/POPs+MBP_Drogarias/POP.024 Manutenção Extintores de Incêndio,POP.024 Manutenção Extintores de Incêndio,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,"08. Equipamentos, Calibracao e Manutencao",POP,POP-024-MANUTENCAO-EXTINTORES-DE-INCENDIO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0043,Google Drive/POPs+MBP_Drogarias/POP.025 Programa de Controle de Pragas,POP.025 Programa de Controle de Pragas,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-025-PROGRAMA-DE-CONTROLE-DE-PRAGAS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0044,Google Drive/POPs+MBP_Drogarias/POP.026 Limpeza das Caixas d'água,POP.026 Limpeza das Caixas d'água,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,07. Higiene e Limpeza,POP,POP-026-LIMPEZA-DAS-CAIXAS-D-AGUA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0045,Google Drive/POPs+MBP_Drogarias/POP.031 Comercialização de Alimentos,POP.031 Comercialização de Alimentos,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-031-COMERCIALIZACAO-DE-ALIMENTOS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0046,Google Drive/POPs+MBP_Drogarias/POP.036 Armazenamento de Antimicrobianos e Port. 344,POP.036 Armazenamento de Antimicrobianos e Port. 344,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,04. Recebimento e Armazenamento,POP.036 Armazenamento de Antimicrobianos e Port,POP-036-ARMAZENAMENTO-DE-ANTIMICROBIANOS-E-PORT-,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0047,Google Drive/POPs+MBP_Drogarias/POP.037 Armazenamento de MIPs,POP.037 Armazenamento de MIPs,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,04. Recebimento e Armazenamento,POP,POP-037-ARMAZENAMENTO-DE-MIPS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0048,Google Drive/POPs+MBP_Drogarias/POP.039 Dispensação por Receita Digital,POP.039 Dispensação por Receita Digital,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,01. Dispensacao,POP,POP-039-DISPENSACAO-POR-RECEITA-DIGITAL,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0049,Google Drive/POPs+MBP_Drogarias/POP.040 Intercambialidade de Medicamentos,POP.040 Intercambialidade de Medicamentos,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-040-INTERCAMBIALIDADE-DE-MEDICAMENTOS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0050,Google Drive/POPs+MBP_Drogarias/POP.041 Avaliação da Prescrição - Prevenção de Erros,POP.041 Avaliação da Prescrição - Prevenção de Erros,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-041-AVALIACAO-DA-PRESCRICAO-PREVENCAO-DE-ERR,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0051,Google Drive/POPs+MBP_Drogarias/POP.042 Entrega em Domicílio,POP.042 Entrega em Domicílio,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-042-ENTREGA-EM-DOMICILIO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0052,Google Drive/POPs+MBP_Drogarias/POP.044 Mercadorias Avariadas ou Vencidas,POP.044 Mercadorias Avariadas ou Vencidas,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,"10. Nao Conformidades, Reclamacoes e Recolhimento",POP,POP-044-MERCADORIAS-AVARIADAS-OU-VENCIDAS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0053,Google Drive/POPs+MBP_Drogarias/POP.045 Medicamentos Falsificados,POP.045 Medicamentos Falsificados,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,"10. Nao Conformidades, Reclamacoes e Recolhimento",POP,POP-045-MEDICAMENTOS-FALSIFICADOS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0054,Google Drive/POPs+MBP_Drogarias/POP.046 Devolução de Produtos ao Fornecedor,POP.046 Devolução de Produtos ao Fornecedor,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,05. Materias-primas e Fornecedores,POP,POP-046-DEVOLUCAO-DE-PRODUTOS-AO-FORNECEDOR,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0055,Google Drive/POPs+MBP_Drogarias/POP.047 Devolução de Produtos dos Clientes,POP.047 Devolução de Produtos dos Clientes,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-047-DEVOLUCAO-DE-PRODUTOS-DOS-CLIENTES,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0056,Google Drive/POPs+MBP_Drogarias/POP.048 Aplicação de Injetáveis - Agulhas e Seringas,POP.048 Aplicação de Injetáveis - Agulhas e Seringas,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,06. Servicos Farmaceuticos,POP,POP-048-APLICACAO-DE-INJETAVEIS-AGULHAS-E-SERING,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0057,Google Drive/POPs+MBP_Drogarias/POP.049 Aplicação de Injetáveis - Preparação,POP.049 Aplicação de Injetáveis - Preparação,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,06. Servicos Farmaceuticos,POP,POP-049-APLICACAO-DE-INJETAVEIS-PREPARACAO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
